theta,q,theta_via_q,y_rep
0.6387388,0.8193694,0.6387388,80.0
0.51753961,0.7587698,0.51753961,76.0
0.48347204,0.74173602,0.48347204,72.0
0.50511101,0.7525555,0.50511101,75.0
0.50069172,0.75034586,0.50069172,67.0
0.44602514,0.72301257,0.44602514,72.0
0.43516623,0.71758312,0.43516623,71.0
0.47397598,0.73698799,0.47397598,82.0
0.49912325,0.74956163,0.49912325,70.0
0.59167976,0.79583988,0.59167976,81.0
0.55230091,0.77615046,0.55230091,81.0
0.63833676,0.81916838,0.63833676,81.0
0.53729465,0.76864733,0.53729465,74.0
0.53584943,0.76792471,0.53584943,72.0
0.60062782,0.80031391,0.60062782,77.0
0.56935307,0.78467654,0.56935307,86.0
0.68520371,0.84260186,0.68520371,85.0
0.6684444,0.8342222,0.6684444,83.0
0.65858476,0.82929238,0.65858476,84.0
0.6608759,0.83043795,0.6608759,79.0
0.66553828,0.83276914,0.66553828,84.0
0.68706537,0.84353269,0.68706537,81.0
0.60037824,0.80018912,0.60037824,72.0
0.59291202,0.79645601,0.59291202,85.0
0.5532416,0.7766208,0.5532416,76.0
0.615369,0.8076845,0.615369,83.0
0.6114478,0.8057239,0.6114478,77.0
0.57235452,0.78617726,0.57235452,76.0
0.6203212,0.8101606,0.6203212,85.0
0.53847563,0.76923781,0.53847563,78.0
0.52294082,0.76147041,0.52294082,78.0
0.67146611,0.83573305,0.67146611,80.0
0.50383256,0.75191628,0.50383256,80.0
0.51376305,0.75688152,0.51376305,84.0
0.56710917,0.78355459,0.56710917,78.0
0.5702376,0.7851188,0.5702376,79.0
0.62225936,0.81112968,0.62225936,81.0
0.62074632,0.81037316,0.62074632,83.0
0.50009819,0.75004909,0.50009819,80.0
0.51755218,0.75877609,0.51755218,82.0
0.50971928,0.75485964,0.50971928,75.0
0.52806994,0.76403497,0.52806994,77.0
0.68265853,0.84132927,0.68265853,92.0
0.68255649,0.84127825,0.68255649,80.0
0.7053126,0.8526563,0.7053126,86.0
0.6725357,0.83626785,0.6725357,84.0
0.64965284,0.82482642,0.64965284,86.0
0.53100613,0.76550306,0.53100613,76.0
0.66742126,0.83371063,0.66742126,82.0
0.62469698,0.81234849,0.62469698,77.0
0.52506978,0.76253489,0.52506978,72.0
0.5162414,0.7581207,0.5162414,79.0
0.64531179,0.82265589,0.64531179,81.0
0.55639659,0.77819829,0.55639659,81.0
0.56129861,0.7806493,0.56129861,81.0
0.67469697,0.83734848,0.67469697,83.0
0.67142518,0.83571259,0.67142518,85.0
0.67887437,0.83943719,0.67887437,86.0
0.68944829,0.84472414,0.68944829,82.0
0.49059028,0.74529514,0.49059028,78.0
0.53741664,0.76870832,0.53741664,73.0
0.53738186,0.76869093,0.53738186,80.0
0.53977976,0.76988988,0.53977976,72.0
0.55528809,0.77764405,0.55528809,73.0
